[04:56:45] 🏗️ 建立自己的完整資料庫
[04:56:45]    探測最新 ID...
[04:56:46]    最新 ID: 37308
[04:56:46]    需要抓: 37308 篇
[05:44:24]    4700/37308 (12.6%) | 已抓 3893 篇 | 錯誤 807 | 速度 1.6/秒 | 剩 ~330 分鐘
[05:45:26]    4800/37308 (12.9%) | 已抓 3975 篇 | 錯誤 825 | 速度 1.6/秒 | 剩 ~330 分鐘
[05:46:29]    4900/37308 (13.1%) | 已抓 4025 篇 | 錯誤 875 | 速度 1.6/秒 | 剩 ~329 分鐘
[05:47:32]    5000/37308 (13.4%) | 已抓 4082 篇 | 錯誤 918 | 速度 1.6/秒 | 剩 ~328 分鐘
[05:48:33]    5100/37308 (13.7%) | 已抓 4157 篇 | 錯誤 943 | 速度 1.6/秒 | 剩 ~327 分鐘
[05:49:34]    5200/37308 (13.9%) | 已抓 4228 篇 | 錯誤 972 | 速度 1.6/秒 | 剩 ~326 分鐘
[05:50:35]    5300/37308 (14.2%) | 已抓 4301 篇 | 錯誤 999 | 速度 1.6/秒 | 剩 ~325 分鐘
[05:51:37]    5400/37308 (14.5%) | 已抓 4376 篇 | 錯誤 1024 | 速度 1.6/秒 | 剩 ~324 分鐘
[05:52:38]    5500/37308 (14.7%) | 已抓 4440 篇 | 錯誤 1060 | 速度 1.6/秒 | 剩 ~323 分鐘
[05:53:39]    5600/37308 (15.0%) | 已抓 4524 篇 | 錯誤 1076 | 速度 1.6/秒 | 剩 ~322 分鐘
[05:54:41]    5700/37308 (15.3%) | 已抓 4604 篇 | 錯誤 1096 | 速度 1.6/秒 | 剩 ~321 分鐘
[05:55:42]    5800/37308 (15.5%) | 已抓 4680 篇 | 錯誤 1120 | 速度 1.6/秒 | 剩 ~320 分鐘
[05:56:44]    5900/37308 (15.8%) | 已抓 4735 篇 | 錯誤 1165 | 速度 1.6/秒 | 剩 ~319 分鐘
[05:57:47]    6000/37308 (16.1%) | 已抓 4827 篇 | 錯誤 1173 | 速度 1.6/秒 | 剩 ~318 分鐘
[05:58:48]    6100/37308 (16.4%) | 已抓 4900 篇 | 錯誤 1200 | 速度 1.6/秒 | 剩 ~317 分鐘
[05:59:49]    6200/37308 (16.6%) | 已抓 4961 篇 | 錯誤 1239 | 速度 1.6/秒 | 剩 ~316 分鐘
[06:00:51]    6300/37308 (16.9%) | 已抓 5041 篇 | 錯誤 1259 | 速度 1.6/秒 | 剩 ~315 分鐘
[06:01:53]    6400/37308 (17.2%) | 已抓 5109 篇 | 錯誤 1291 | 速度 1.6/秒 | 剩 ~314 分鐘
[06:02:55]    6500/37308 (17.4%) | 已抓 5194 篇 | 錯誤 1306 | 速度 1.6/秒 | 剩 ~313 分鐘
[06:03:58]    6600/37308 (17.7%) | 已抓 5261 篇 | 錯誤 1339 | 速度 1.6/秒 | 剩 ~313 分鐘
[06:05:01]    6700/37308 (18.0%) | 已抓 5346 篇 | 錯誤 1354 | 速度 1.6/秒 | 剩 ~312 分鐘
[06:06:03]    6800/37308 (18.2%) | 已抓 5421 篇 | 錯誤 1379 | 速度 1.6/秒 | 剩 ~311 分鐘
[06:07:06]    6900/37308 (18.5%) | 已抓 5509 篇 | 錯誤 1391 | 速度 1.6/秒 | 剩 ~310 分鐘
[06:08:08]    7000/37308 (18.8%) | 已抓 5580 篇 | 錯誤 1420 | 速度 1.6/秒 | 剩 ~309 分鐘
[06:09:09]    7100/37308 (19.0%) | 已抓 5654 篇 | 錯誤 1446 | 速度 1.6/秒 | 剩 ~308 分鐘
[06:10:10]    7200/37308 (19.3%) | 已抓 5729 篇 | 錯誤 1471 | 速度 1.6/秒 | 剩 ~307 分鐘
[06:11:13]    7300/37308 (19.6%) | 已抓 5823 篇 | 錯誤 1477 | 速度 1.6/秒 | 剩 ~306 分鐘
[06:12:15]    7400/37308 (19.8%) | 已抓 5894 篇 | 錯誤 1506 | 速度 1.6/秒 | 剩 ~305 分鐘
[06:13:16]    7500/37308 (20.1%) | 已抓 5962 篇 | 錯誤 1538 | 速度 1.6/秒 | 剩 ~304 分鐘
[06:14:18]    7600/37308 (20.4%) | 已抓 6041 篇 | 錯誤 1559 | 速度 1.6/秒 | 剩 ~303 分鐘
[06:15:19]    7700/37308 (20.6%) | 已抓 6130 篇 | 錯誤 1570 | 速度 1.6/秒 | 剩 ~302 分鐘
[06:16:20]    7800/37308 (20.9%) | 已抓 6190 篇 | 錯誤 1610 | 速度 1.6/秒 | 剩 ~301 分鐘
[06:17:21]    7900/37308 (21.2%) | 已抓 6253 篇 | 錯誤 1647 | 速度 1.6/秒 | 剩 ~300 分鐘
[06:18:22]    8000/37308 (21.4%) | 已抓 6318 篇 | 錯誤 1682 | 速度 1.6/秒 | 剩 ~299 分鐘
[06:19:25]    8100/37308 (21.7%) | 已抓 6401 篇 | 錯誤 1699 | 速度 1.6/秒 | 剩 ~298 分鐘
[06:20:27]    8200/37308 (22.0%) | 已抓 6479 篇 | 錯誤 1721 | 速度 1.6/秒 | 剩 ~297 分鐘
[06:21:28]    8300/37308 (22.2%) | 已抓 6555 篇 | 錯誤 1745 | 速度 1.6/秒 | 剩 ~296 分鐘
[06:22:29]    8400/37308 (22.5%) | 已抓 6637 篇 | 錯誤 1763 | 速度 1.6/秒 | 剩 ~295 分鐘
[06:23:30]    8500/37308 (22.8%) | 已抓 6706 篇 | 錯誤 1794 | 速度 1.6/秒 | 剩 ~294 分鐘
[06:24:32]    8600/37308 (23.1%) | 已抓 6788 篇 | 錯誤 1812 | 速度 1.6/秒 | 剩 ~293 分鐘
[06:25:33]    8700/37308 (23.3%) | 已抓 6867 篇 | 錯誤 1833 | 速度 1.6/秒 | 剩 ~292 分鐘
[06:26:34]    8800/37308 (23.6%) | 已抓 6939 篇 | 錯誤 1861 | 速度 1.6/秒 | 剩 ~291 分鐘
[06:27:34]    8900/37308 (23.9%) | 已抓 7001 篇 | 錯誤 1899 | 速度 1.6/秒 | 剩 ~290 分鐘
[06:28:35]    9000/37308 (24.1%) | 已抓 7091 篇 | 錯誤 1909 | 速度 1.6/秒 | 剩 ~289 分鐘
[06:29:37]    9100/37308 (24.4%) | 已抓 7175 篇 | 錯誤 1925 | 速度 1.6/秒 | 剩 ~288 分鐘
[06:30:39]    9200/37308 (24.7%) | 已抓 7262 篇 | 錯誤 1938 | 速度 1.6/秒 | 剩 ~287 分鐘
[06:31:40]    9300/37308 (24.9%) | 已抓 7327 篇 | 錯誤 1973 | 速度 1.6/秒 | 剩 ~286 分鐘
[06:32:40]    9400/37308 (25.2%) | 已抓 7401 篇 | 錯誤 1999 | 速度 1.6/秒 | 剩 ~285 分鐘
[06:33:41]    9500/37308 (25.5%) | 已抓 7478 篇 | 錯誤 2022 | 速度 1.6/秒 | 剩 ~284 分鐘
[06:34:42]    9600/37308 (25.7%) | 已抓 7557 篇 | 錯誤 2043 | 速度 1.6/秒 | 剩 ~283 分鐘
[06:35:42]    9700/37308 (26.0%) | 已抓 7637 篇 | 錯誤 2063 | 速度 1.6/秒 | 剩 ~282 分鐘
[06:36:43]    9800/37308 (26.3%) | 已抓 7715 篇 | 錯誤 2085 | 速度 1.6/秒 | 剩 ~281 分鐘
[06:37:47]    9900/37308 (26.5%) | 已抓 7792 篇 | 錯誤 2108 | 速度 1.6/秒 | 剩 ~280 分鐘
[06:38:47]    10000/37308 (26.8%) | 已抓 7867 篇 | 錯誤 2133 | 速度 1.6/秒 | 剩 ~279 分鐘
[06:39:48]    10100/37308 (27.1%) | 已抓 7950 篇 | 錯誤 2150 | 速度 1.6/秒 | 剩 ~278 分鐘
[06:40:51]    10200/37308 (27.3%) | 已抓 8023 篇 | 錯誤 2177 | 速度 1.6/秒 | 剩 ~277 分鐘
[06:41:52]    10300/37308 (27.6%) | 已抓 8089 篇 | 錯誤 2211 | 速度 1.6/秒 | 剩 ~276 分鐘
[06:42:54]    10400/37308 (27.9%) | 已抓 8170 篇 | 錯誤 2230 | 速度 1.6/秒 | 剩 ~275 分鐘
[06:43:55]    10500/37308 (28.1%) | 已抓 8257 篇 | 錯誤 2243 | 速度 1.6/秒 | 剩 ~274 分鐘
[06:44:56]    10600/37308 (28.4%) | 已抓 8337 篇 | 錯誤 2263 | 速度 1.6/秒 | 剩 ~273 分鐘
[06:45:58]    10700/37308 (28.7%) | 已抓 8421 篇 | 錯誤 2279 | 速度 1.6/秒 | 剩 ~272 分鐘
[06:47:01]    10800/37308 (28.9%) | 已抓 8502 篇 | 錯誤 2298 | 速度 1.6/秒 | 剩 ~271 分鐘
[06:48:03]    10900/37308 (29.2%) | 已抓 8582 篇 | 錯誤 2318 | 速度 1.6/秒 | 剩 ~270 分鐘
[06:49:05]    11000/37308 (29.5%) | 已抓 8667 篇 | 錯誤 2333 | 速度 1.6/秒 | 剩 ~269 分鐘
[06:50:07]    11100/37308 (29.8%) | 已抓 8759 篇 | 錯誤 2341 | 速度 1.6/秒 | 剩 ~268 分鐘
[06:51:08]    11200/37308 (30.0%) | 已抓 8838 篇 | 錯誤 2362 | 速度 1.6/秒 | 剩 ~267 分鐘
[06:52:08]    11300/37308 (30.3%) | 已抓 8915 篇 | 錯誤 2385 | 速度 1.6/秒 | 剩 ~266 分鐘
[06:53:10]    11400/37308 (30.6%) | 已抓 9010 篇 | 錯誤 2390 | 速度 1.6/秒 | 剩 ~265 分鐘
[06:54:11]    11500/37308 (30.8%) | 已抓 9074 篇 | 錯誤 2426 | 速度 1.6/秒 | 剩 ~264 分鐘
[06:55:14]    11600/37308 (31.1%) | 已抓 9144 篇 | 錯誤 2456 | 速度 1.6/秒 | 剩 ~263 分鐘
[06:56:16]    11700/37308 (31.4%) | 已抓 9225 篇 | 錯誤 2475 | 速度 1.6/秒 | 剩 ~262 分鐘
[06:57:16]    11800/37308 (31.6%) | 已抓 9297 篇 | 錯誤 2503 | 速度 1.6/秒 | 剩 ~260 分鐘
[06:58:18]    11900/37308 (31.9%) | 已抓 9358 篇 | 錯誤 2542 | 速度 1.6/秒 | 剩 ~259 分鐘
[06:59:18]    12000/37308 (32.2%) | 已抓 9431 篇 | 錯誤 2569 | 速度 1.6/秒 | 剩 ~258 分鐘
[07:00:19]    12100/37308 (32.4%) | 已抓 9512 篇 | 錯誤 2588 | 速度 1.6/秒 | 剩 ~257 分鐘
[07:01:19]    12200/37308 (32.7%) | 已抓 9602 篇 | 錯誤 2598 | 速度 1.6/秒 | 剩 ~256 分鐘
[07:02:23]    12300/37308 (33.0%) | 已抓 9690 篇 | 錯誤 2610 | 速度 1.6/秒 | 剩 ~255 分鐘
